Items,Responses,Household Number,Age,Gender,Highest level of education,Still in school?,Can read / write?,Domain
"If so, how.","Satria ty sakafoe tsy sarotre,",170,57,Male,Lycée (ambaratonga fahatelo),No,Yes,
"If so, how.","Satria maro ty asako ka mety tsy ho arako,fa valiko mety hagnampe ahe avao koa Amy ty fiharea aze.",169,21,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,211,42,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",,210,32,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",,213,30,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Eo avao koa ty halatre,214,36,Male,,No,Yes,
"If so, how.",Fikarakara ty sakafoe,212,58,Male,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.","Fikara tegna ty sakafoe, fitsaboa aze lafa marare",202,30,Female,Lycée (ambaratonga fahatelo),No,Yes,
"If so, how.",,200,31,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,194,27,Female,Lycée (ambaratonga fahatelo),No,Yes,
"If so, how.",,201,38,Male,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Fa asa tsy raha de mahavelo loatre,207,43,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Amy hanie,205,30,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,206,26,Female,University,No,Yes,
"If so, how.",,204,40,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",,8,31,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Arakaraky amy mpivily azy avao,1,57,Male,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,6,33,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,,26,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Tsy mankasarotry fa na atoliny avao fa afaky mahazo a vaha ty sakafony,178,47,Male,E.P.P (ambaratonga voalohany),Yes,Yes,
"If so, how.",Amy halatry laha tsy soa vala mety ho tsobo,179,36,Male,E.P.P (ambaratonga voalohany),No,No,
"If so, how.",Fa somary manahira ty halatry amizao,177,25,Male,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Tsy maha sarotry fiaina fa raha mora atao,181,26,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Ts  mankasarotry fa mora haré,182,42,Male,Tsy mianatra,No,No,
"If so, how.",Tsy mankasarotry fa manampy antena am laoky koa ty atoliny,180,29,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Ty halatry fa mandreky amizao,183,32,Male,Tsy mianatra,No,No,
"If so, how.",,184,72,Male,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Safe Ahazoa sakafo,186,27,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Safe tsy mankasarotry,187,31,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Amy fikarae ty sakafoe,208,28,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.","Amy ty sakafoe, amy ty halatre, fitsaboa",193,32,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,195,27,Male,E.P.P (ambaratonga voalohany),No,No,
"If so, how.",,196,47,Male,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.","Amy sakafoe, fitsaboa aze",209,35,Female,Lycée (ambaratonga fahatelo),No,Yes,
"If so, how.",,197,55,Male,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,198,38,Male,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Vala misy ro atao soa f mety haha tsobo azy laha raty fa ty mpangalatry mbo ao koa,245,32,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Tsy makasarotse zao lafa misy sakafo avao de laha tsimisy de afake amilia koa atoliny ine de ine ro avily sakafoee,237,28,Male,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",,247,34,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,127,26,Male,Tsy mianatra,No,No,
"If so, how.",,246,42,Male,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Tsy makasarotse zao lasa misy sakafo de laha tsimisy de afake mamily atoly koa tena de igne ro ivilia sakafoee,120,33,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,197,50,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Tsy mampanahira ahy satria afake amesko sakafo soa.,165,39,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.","Laha mianatre aho afake a Mets ahazo Haney avao ty eo,",215,20,Female,University,Yes,Yes,
"If so, how.","Mampanahira Amy resake sakafo, manahira Amy fikarakara ty raha ho hanie.",225,48,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.","Satria mora teiza raha reo, fa Ty mampanahira avao zAo ty olo mangalatre.",220,29,Male,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.","Fahana, anda rano, izara votre atao sakafo ty anae.",221,50,Female,E.P.P (ambaratonga voalohany),No,No,
"If so, how.",Mety manahira fe laha misy raha zay afake mikarakara avao koa fa ty hanie ro mampanahira Amy raha zay.,229,28,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",,228,60,Male,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.","Asa vala, arankadrove lafa ie miboake, amea sakafo.",222,46,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.","Vilie, de mandatsake, lafa mamaky,karakara koa ty anae.",216,,Female,Tsy mianatra,No,No,
"If so, how.","Ty makoko, ty sasenta afake amea aze iaby ,tsy mampanahira ty fameloma aze.",230,38,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.","Lafa foy roze afake ikarakara sakafo, na afake amea vare koa.",39,28,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Satria zaho mahazo atoly.,168,34,Male,Lycée (ambaratonga fahatelo),No,Yes,
"If so, how.",Fa satria fa misy ty namako mihare ka I regne ro anotaniako Amy ty fikolokoloa aze.,167,60,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Misy fotoa tokony hojea tsiotsioke avao koa fa tsy atao anaty Vala avao.,223,24,Male,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Satria miankina Amy tegna mpihare.,224,31,Male,Lycée (ambaratonga fahatelo),No,Yes,
"If so, how.",Satria tegna olo mandeha io ka mety hanahira ahe avao fe misy any anako reo mety hikarakara aze avao koa laha zaho ro tsy eto.,158,43,Male,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Manahira Amy ty sakafo.,218,23,Female,Lycée (ambaratonga fahatelo),No,Yes,
"If so, how.",Tsy mankasarotre ahe satria manavana ahe raha io.,166,40,Male,E.P.P (ambaratonga voalohany),No,No,
"If so, how.",Tsy de sarotre ty fameloma aze.,127,35,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Satria mora hare raha reo.,128,27,Female,Tsy mianatra,No,No,
"If so, how.","Mora kolokoloe , tsy sarotse teiza.",129,39,Female,E.P.P (ambaratonga voalohany),No,Yes,
mistakes or misunderstandings made by project staff members,Problem,61,50,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
mistakes or misunderstandings made by project staff members,No problem,86,31,Male,Tsy mianatra,No,No,expectations
mistakes or misunderstandings made by project staff members,Problem,105,34,Female,E.P.P (ambaratonga voalohany),No,No,expectations
mistakes or misunderstandings made by project staff members,,79,18,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
mistakes or misunderstandings made by project staff members,No problem,75,33,Male,E.P.P (ambaratonga voalohany),No,No,expectations
mistakes or misunderstandings made by project staff members,No problem,73,50,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,69,33,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Small problem,90,23,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
mistakes or misunderstandings made by project staff members,No problem,91,50,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Small problem,92,40,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Small problem,103,57,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Big problem,106,38,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,62,24,Female,Lycée (ambaratonga fahatelo),Yes,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,113,29,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,,226,30,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,No problem,83,43,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,No problem,85,32,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,82,27,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Big problem,89,30,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,93,28,Male,University,No,Yes,expectations
mistakes or misunderstandings made by project staff members,Small problem,94,38,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
mistakes or misunderstandings made by project staff members,,95,23,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,No problem,77,22,Male,Lycée (ambaratonga fahatelo),Yes,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,74,32,Male,Tsy mianatra,No,No,expectations
mistakes or misunderstandings made by project staff members,Very big problem,135,27,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Very big problem,139,21,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Very big problem,138,18,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Very big problem,132,45,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Big problem,134,20,Male,E.P.P (ambaratonga voalohany),No,No,expectations
mistakes or misunderstandings made by project staff members,Very big problem,131,22,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
mistakes or misunderstandings made by project staff members,,141,40,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Very big problem,133,25,Female,E.P.P (ambaratonga voalohany),No,No,expectations
mistakes or misunderstandings made by project staff members,Big problem,130,38,Female,E.P.P (ambaratonga voalohany),No,No,expectations
mistakes or misunderstandings made by project staff members,Very big problem,71,35,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Big problem,104,29,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Big problem,110,18,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,109,20,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Small problem,107,22,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,108,26,Female,E.P.P (ambaratonga voalohany),No,No,expectations
mistakes or misunderstandings made by project staff members,Problem,112,35,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Small problem,111,33,Female,Tsy mianatra,No,No,expectations
mistakes or misunderstandings made by project staff members,Big problem,102,36,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,101,29,Female,Lycée (ambaratonga fahatelo),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,96,49,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,98,24,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,142,25,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,143,35,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,144,40,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,152,42,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,143,32,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,149,53,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
mistakes or misunderstandings made by project staff members,Problem,150,22,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
